MirnaId;Accession;Intragenic;A549;BCELL;DendriticCell;Granulocite;lung;Monocyte;NKCELL
hsa-mir-129-2;MI0000473;0;0;0;0;0;0;1;0
hsa-mir-134;MI0000474;0;1;1;0;0;1;0;0
hsa-mir-138-1;MI0000476;0;1;1;0;0;0;0;0
hsa-mir-146a;MI0000477;0;1;0;0;0;0;1;0
hsa-mir-149;MI0000478;0;1;1;0;0;0;0;0
hsa-mir-150;MI0000479;0;1;1;0;0;0;0;0
hsa-mir-184;MI0000481;0;0;0;0;0;1;0;0
hsa-mir-185;MI0000482;0;1;1;0;0;0;1;0
hsa-mir-186;MI0000483;0;0;1;0;0;0;0;0
hsa-mir-188;MI0000484;0;1;0;1;0;0;0;0
hsa-mir-190a;MI0000486;0;1;0;0;0;1;0;0
